Méthode,Point de départ,Point d’arrivée,Itinéraire,Nombre d’étapes,Temps total (s)
2025-07-05 17:36:46,Q-learning,F,E,F -> B -> A -> B -> F -> J -> I -> E,7,35
2025-07-05 17:36:46,Dijkstra,F,E,F -> B -> A -> B -> F -> J -> I -> E,7,35
2025-07-05 18:01:09,Q-learning,E,F,E -> I -> J -> F -> B -> A -> B -> F,7,35
2025-07-05 18:01:09,Dijkstra,E,F,E -> I -> J -> F -> B -> A -> B -> F,7,35
2025-07-05 18:03:41,Q-learning,C,D,C -> B -> A -> B -> C -> G -> H -> D,7,35
2025-07-05 18:03:41,Dijkstra,C,D,C -> B -> A -> B -> C -> G -> H -> D,7,35
2025-07-05 18:07:29,Q-learning,A,F,A -> B -> C -> G -> C -> B -> F,6,30
2025-07-05 18:07:29,Dijkstra,A,F,A -> B -> C -> G -> C -> B -> F,6,30
2025-07-05 18:28:40,Q-learning,C,A,C -> G -> H -> D -> H -> G -> C -> B -> A,8,40
2025-07-05 18:28:40,Dijkstra,C,A,C -> G -> H -> D -> H -> G -> C -> B -> A,8,40
2025-07-24 15:12:55,Q-learning,C,L,C -> B -> A -> B -> F -> J -> K -> L,7,35
2025-07-24 15:12:55,Dijkstra,C,L,C -> B -> A -> B -> C -> G -> H -> L,7,35
2025-07-24 15:13:29,Q-learning,C,L,C -> B -> F -> J -> I -> E -> I -> J -> K -> L,9,45
2025-07-24 15:13:30,Dijkstra,C,L,C -> B -> F -> J -> I -> E -> I -> J -> K -> L,9,45
2025-07-24 15:37:54,Q-learning,D,A,D -> H -> L -> K -> J -> F -> B -> A,7,35
2025-07-24 15:37:55,Dijkstra,D,A,D -> H -> L -> K -> J -> F -> B -> A,7,35
2025-07-24 15:38:45,Q-learning,D,A,D -> H -> L -> K -> J -> F -> B -> A,7,35
2025-07-24 15:38:46,Dijkstra,D,A,D -> H -> L -> K -> J -> F -> B -> A,7,35
2025-07-24 15:39:19,Q-learning,D,A,D -> H -> L -> K -> J -> F -> B -> A,7,35
2025-07-24 15:39:20,Dijkstra,D,A,D -> H -> L -> K -> J -> F -> B -> A,7,35
2025-07-28 12:36:32,Q-learning,A,D,A -> B -> F -> J -> I -> E -> I -> J -> K -> L -> H -> D,11,55
2025-07-28 12:36:33,Dijkstra,A,D,A -> B -> F -> J -> I -> E -> I -> J -> K -> L -> H -> D,11,55
2025-07-28 12:38:47,Q-learning,C,B,C -> G -> H -> L -> K -> J -> F -> B,7,35
2025-07-28 12:38:48,Dijkstra,C,B,C -> B -> F -> J -> K -> J -> F -> B,7,35
2025-08-08 16:26:11,Q-learning,A,G,A -> B -> C -> G,3,15
2025-08-08 16:26:12,Dijkstra,A,G,A -> B -> C -> G,3,15
